replicate	papers_combined	fraction_labels_with_shared_marker	mean_shared_markers
574	3	0.35135135135135137	0.5405405405405406
574	4	0.1891891891891892	0.2702702702702703
574	5	0.16216216216216217	0.1891891891891892
574	6	0.10810810810810811	0.10810810810810811
574	7	0.08108108108108109	0.08108108108108109
574	8	0.05405405405405406	0.05405405405405406
574	9	0.02702702702702703	0.02702702702702703
574	10	0.02702702702702703	0.02702702702702703
575	1	1.0	4.783783783783784
575	2	0.6486486486486487	1.2432432432432432
575	3	0.32432432432432434	0.4864864864864865
575	4	0.1891891891891892	0.21621621621621623
575	5	0.10810810810810811	0.10810810810810811
575	6	0.10810810810810811	0.10810810810810811
575	7	0.08108108108108109	0.08108108108108109
575	8	0.05405405405405406	0.05405405405405406
575	9	0.02702702702702703	0.02702702702702703
575	10	0.02702702702702703	0.02702702702702703
576	1	1.0	4.594594594594595
576	2	0.5405405405405406	0.7837837837837838
576	3	0.32432432432432434	0.3783783783783784
576	4	0.1891891891891892	0.21621621621621623
576	5	0.05405405405405406	0.05405405405405406
576	6	0.02702702702702703	0.02702702702702703
576	7	0.0	0.0
576	8	0.0	0.0
576	9	0.0	0.0
576	10	0.0	0.0
577	1	1.0	4.5675675675675675
577	2	0.5675675675675675	1.135135135135135
577	3	0.40540540540540543	0.6486486486486487
577	4	0.16216216216216217	0.1891891891891892
577	5	0.08108108108108109	0.08108108108108109
577	6	0.08108108108108109	0.08108108108108109
577	7	0.02702702702702703	0.02702702702702703
577	8	0.0	0.0
577	9	0.0	0.0
577	10	0.0	0.0
578	1	1.0	5.621621621621622
578	2	0.5675675675675675	0.972972972972973
578	3	0.35135135135135137	0.43243243243243246
578	4	0.24324324324324326	0.2702702702702703
578	5	0.16216216216216217	0.1891891891891892
578	6	0.16216216216216217	0.16216216216216217
578	7	0.10810810810810811	0.10810810810810811
578	8	0.10810810810810811	0.10810810810810811
578	9	0.08108108108108109	0.08108108108108109
578	10	0.02702702702702703	0.02702702702702703
579	1	1.0	5.162162162162162
579	2	0.6486486486486487	0.972972972972973
579	3	0.35135135135135137	0.40540540540540543
579	4	0.21621621621621623	0.24324324324324326
