replicate	comparison	metric	estimate
31	same_identifier_different_label	any_shared_marker	0.4838709677419355
31	different_identifier_matched_control	any_shared_marker	0.012096774193548387
31	same_label_same_identifier	marker_jaccard	0.09811575683917394
31	same_label_no_accepted_identifier	marker_jaccard	0.15510299359210858
31	same_identifier_different_label	marker_jaccard	0.08069105283289343
31	different_identifier_matched_control	marker_jaccard	0.0013600870455709165
32	same_label_same_identifier	any_shared_marker	0.532258064516129
32	same_label_no_accepted_identifier	any_shared_marker	0.5241935483870968
32	same_identifier_different_label	any_shared_marker	0.5040322580645161
32	different_identifier_matched_control	any_shared_marker	0.024193548387096774
32	same_label_same_identifier	marker_jaccard	0.11791646624866156
32	same_label_no_accepted_identifier	marker_jaccard	0.12531765874547976
32	same_identifier_different_label	marker_jaccard	0.09335364785435943
32	different_identifier_matched_control	marker_jaccard	0.005174731182795699
33	same_label_same_identifier	any_shared_marker	0.5
33	same_label_no_accepted_identifier	any_shared_marker	0.5766129032258065
33	same_identifier_different_label	any_shared_marker	0.4838709677419355
33	different_identifier_matched_control	any_shared_marker	0.03225806451612903
33	same_label_same_identifier	marker_jaccard	0.1183033140694431
33	same_label_no_accepted_identifier	marker_jaccard	0.15837345389639365
33	same_identifier_different_label	marker_jaccard	0.09275843542921342
33	different_identifier_matched_control	marker_jaccard	0.0032681621035510976
34	same_label_same_identifier	any_shared_marker	0.5443548387096774
34	same_label_no_accepted_identifier	any_shared_marker	0.5685483870967742
34	same_identifier_different_label	any_shared_marker	0.4879032258064516
34	different_identifier_matched_control	any_shared_marker	0.016129032258064516
34	same_label_same_identifier	marker_jaccard	0.12615603175952847
34	same_label_no_accepted_identifier	marker_jaccard	0.13596189711879939
34	same_identifier_different_label	marker_jaccard	0.09034188685813448
34	different_identifier_matched_control	marker_jaccard	0.0016766611524676042
35	same_label_same_identifier	any_shared_marker	0.4717741935483871
35	same_label_no_accepted_identifier	any_shared_marker	0.5161290322580645
35	same_identifier_different_label	any_shared_marker	0.43951612903225806
35	different_identifier_matched_control	any_shared_marker	0.008064516129032258
35	same_label_same_identifier	marker_jaccard	0.10569952708110603
35	same_label_no_accepted_identifier	marker_jaccard	0.1190394336078995
35	same_identifier_different_label	marker_jaccard	0.08658080270983497
35	different_identifier_matched_control	marker_jaccard	0.0018481182795698923
36	same_label_same_identifier	any_shared_marker	0.5
36	same_label_no_accepted_identifier	any_shared_marker	0.4717741935483871
36	same_identifier_different_label	any_shared_marker	0.4112903225806452
36	different_identifier_matched_control	any_shared_marker	0.012096774193548387
36	same_label_same_identifier	marker_jaccard	0.11706028861960525
36	same_label_no_accepted_identifier	marker_jaccard	0.1263867782305973
36	same_identifier_different_label	marker_jaccard	0.08293244942912874
36	different_identifier_matched_control	marker_jaccard	0.0008670093347512702
37	same_label_same_identifier	any_shared_marker	0.5
37	same_label_no_accepted_identifier	any_shared_marker	0.5362903225806451
37	same_identifier_different_label	any_shared_marker	0.4798387096774194
37	different_identifier_matched_control	any_shared_marker	0.012096774193548387
37	same_label_same_identifier	marker_jaccard	0.12484530360697595
37	same_label_no_accepted_identifier	marker_jaccard	0.12264003467931567
37	same_identifier_different_label	marker_jaccard	0.09370215358118585
37	different_identifier_matched_control	marker_jaccard	0.0013266303588884232
38	same_label_same_identifier	any_shared_marker	0.5
38	same_label_no_accepted_identifier	any_shared_marker	0.47580645161290325
38	same_identifier_different_label	any_shared_marker	0.43548387096774194
38	different_identifier_matched_control	any_shared_marker	0.016129032258064516
38	same_label_same_identifier	marker_jaccard	0.11591040656193459
38	same_label_no_accepted_identifier	marker_jaccard	0.1225877054239246
38	same_identifier_different_label	marker_jaccard	0.08389370354503181
38	different_identifier_matched_control	marker_jaccard	0.002692972350230415
39	same_label_same_identifier	any_shared_marker	0.5483870967741935
39	same_label_no_accepted_identifier	any_shared_marker	0.5524193548387096
39	same_identifier_different_label	any_shared_marker	0.3870967741935484
39	different_identifier_matched_control	any_shared_marker	0.0
39	same_label_same_identifier	marker_jaccard	0.13777691759065974
39	same_label_no_accepted_identifier	marker_jaccard	0.1417910046942305
39	same_identifier_different_label	marker_jaccard	0.07332222878060164
39	different_identifier_matched_control	marker_jaccard	0.0
40	same_label_same_identifier	any_shared_marker	0.45564516129032256
40	same_label_no_accepted_identifier	any_shared_marker	0.5483870967741935
40	same_identifier_different_label	any_shared_marker	0.4959677419354839
40	different_identifier_matched_control	any_shared_marker	0.036290322580645164
40	same_label_same_identifier	marker_jaccard	0.10744002860938344
40	same_label_no_accepted_identifier	marker_jaccard	0.1395396732527213
40	same_identifier_different_label	marker_jaccard	0.09671683603135214
40	different_identifier_matched_control	marker_jaccard	0.005758979100978252
41	same_label_same_identifier	any_shared_marker	0.5120967741935484
41	same_label_no_accepted_identifier	any_shared_marker	0.5403225806451613
41	same_identifier_different_label	any_shared_marker	0.43548387096774194
41	different_identifier_matched_control	any_shared_marker	0.016129032258064516
41	same_label_same_identifier	marker_jaccard	0.11594867361872972
41	same_label_no_accepted_identifier	marker_jaccard	0.13918103724496042
41	same_identifier_different_label	marker_jaccard	0.08179385348206507
41	different_identifier_matched_control	marker_jaccard	0.002054531490015361
42	same_label_same_identifier	any_shared_marker	0.4717741935483871
42	same_label_no_accepted_identifier	any_shared_marker	0.5806451612903226
42	same_identifier_different_label	any_shared_marker	0.4879032258064516
42	different_identifier_matched_control	any_shared_marker	0.016129032258064516
42	same_label_same_identifier	marker_jaccard	0.10712209998075872
42	same_label_no_accepted_identifier	marker_jaccard	0.15105893162081802
42	same_identifier_different_label	marker_jaccard	0.09353879767186218
42	different_identifier_matched_control	marker_jaccard	0.001741202346041056
43	same_label_same_identifier	any_shared_marker	0.5564516129032258
43	same_label_no_accepted_identifier	any_shared_marker	0.5
43	same_identifier_different_label	any_shared_marker	0.4153225806451613
43	different_identifier_matched_control	any_shared_marker	0.016129032258064516
43	same_label_same_identifier	marker_jaccard	0.131836729799624
43	same_label_no_accepted_identifier	marker_jaccard	0.1290192498225452
43	same_identifier_different_label	marker_jaccard	0.08604067402395202
43	different_identifier_matched_control	marker_jaccard	0.00342741935483871
44	same_label_same_identifier	any_shared_marker	0.49193548387096775
44	same_label_no_accepted_identifier	any_shared_marker	0.5524193548387096
44	same_identifier_different_label	any_shared_marker	0.4274193548387097
44	different_identifier_matched_control	any_shared_marker	0.016129032258064516
44	same_label_same_identifier	marker_jaccard	0.10488351419032158
44	same_label_no_accepted_identifier	marker_jaccard	0.1406603282996784
44	same_identifier_different_label	marker_jaccard	0.07845936874637066
44	different_identifier_matched_control	marker_jaccard	0.0025171065493646144
