replicate	papers_combined	fraction_labels_with_shared_marker	mean_shared_markers
56	8	0.0	0.0
56	9	0.0	0.0
56	10	0.0	0.0
57	1	1.0	5.37037037037037
57	2	0.48148148148148145	0.6666666666666666
57	3	0.25925925925925924	0.2962962962962963
57	4	0.07407407407407407	0.1111111111111111
57	5	0.037037037037037035	0.07407407407407407
57	6	0.037037037037037035	0.037037037037037035
57	7	0.0	0.0
57	8	0.0	0.0
57	9	0.0	0.0
57	10	0.0	0.0
58	1	1.0	4.518518518518518
58	2	0.5555555555555556	0.9259259259259259
58	3	0.4074074074074074	0.5185185185185185
58	4	0.25925925925925924	0.2962962962962963
58	5	0.1111111111111111	0.14814814814814814
58	6	0.07407407407407407	0.07407407407407407
58	7	0.07407407407407407	0.07407407407407407
58	8	0.07407407407407407	0.07407407407407407
58	9	0.037037037037037035	0.037037037037037035
58	10	0.037037037037037035	0.037037037037037035
59	1	1.0	5.148148148148148
59	2	0.6296296296296297	1.0
59	3	0.3333333333333333	0.48148148148148145
59	4	0.1111111111111111	0.18518518518518517
59	5	0.037037037037037035	0.07407407407407407
59	6	0.037037037037037035	0.037037037037037035
59	7	0.037037037037037035	0.037037037037037035
59	8	0.037037037037037035	0.037037037037037035
59	9	0.037037037037037035	0.037037037037037035
59	10	0.037037037037037035	0.037037037037037035
60	1	1.0	4.185185185185185
60	2	0.37037037037037035	0.5925925925925926
60	3	0.2222222222222222	0.25925925925925924
60	4	0.0	0.0
60	5	0.0	0.0
60	6	0.0	0.0
60	7	0.0	0.0
60	8	0.0	0.0
60	9	0.0	0.0
60	10	0.0	0.0
61	1	1.0	4.0
61	2	0.5185185185185185	0.7037037037037037
61	3	0.25925925925925924	0.3333333333333333
61	4	0.18518518518518517	0.18518518518518517
61	5	0.14814814814814814	0.14814814814814814
61	6	0.14814814814814814	0.14814814814814814
61	7	0.1111111111111111	0.1111111111111111
61	8	0.07407407407407407	0.07407407407407407
61	9	0.037037037037037035	0.037037037037037035
61	10	0.037037037037037035	0.037037037037037035
62	1	1.0	4.111111111111111
62	2	0.4444444444444444	0.7777777777777778
62	3	0.25925925925925924	0.37037037037037035
62	4	0.2222222222222222	0.3333333333333333
62	5	0.14814814814814814	0.25925925925925924
62	6	0.1111111111111111	0.18518518518518517
62	7	0.1111111111111111	0.14814814814814814
62	8	0.037037037037037035	0.037037037037037035
62	9	0.037037037037037035	0.037037037037037035
62	10	0.037037037037037035	0.037037037037037035
63	1	1.0	4.666666666666667
63	2	0.6296296296296297	1.037037037037037
63	3	0.3333333333333333	0.5555555555555556
63	4	0.18518518518518517	0.25925925925925924
63	5	0.1111111111111111	0.14814814814814814
63	6	0.037037037037037035	0.037037037037037035
63	7	0.037037037037037035	0.037037037037037035
63	8	0.0	0.0
63	9	0.0	0.0
63	10	0.0	0.0
64	1	1.0	4.148148148148148
64	2	0.6296296296296297	1.037037037037037
64	3	0.4444444444444444	0.6296296296296297
64	4	0.2962962962962963	0.3333333333333333
64	5	0.14814814814814814	0.18518518518518517
64	6	0.07407407407407407	0.1111111111111111
64	7	0.037037037037037035	0.07407407407407407
64	8	0.037037037037037035	0.07407407407407407
64	9	0.037037037037037035	0.037037037037037035
64	10	0.037037037037037035	0.037037037037037035
65	1	1.0	4.444444444444445
65	2	0.5555555555555556	1.037037037037037
65	3	0.2962962962962963	0.37037037037037035
65	4	0.2222222222222222	0.25925925925925924
65	5	0.14814814814814814	0.14814814814814814
65	6	0.1111111111111111	0.1111111111111111
65	7	0.07407407407407407	0.07407407407407407
65	8	0.037037037037037035	0.037037037037037035
65	9	0.037037037037037035	0.037037037037037035
65	10	0.037037037037037035	0.037037037037037035
66	1	1.0	4.185185185185185
66	2	0.4074074074074074	0.7037037037037037
66	3	0.25925925925925924	0.4074074074074074
66	4	0.14814814814814814	0.2222222222222222
66	5	0.14814814814814814	0.18518518518518517
66	6	0.07407407407407407	0.1111111111111111
66	7	0.07407407407407407	0.07407407407407407
66	8	0.07407407407407407	0.07407407407407407
66	9	0.037037037037037035	0.037037037037037035
66	10	0.0	0.0
67	1	1.0	5.148148148148148
67	2	0.6296296296296297	0.9259259259259259
67	3	0.2222222222222222	0.3333333333333333
67	4	0.1111111111111111	0.14814814814814814
