pair_id	target_key	target_label	target_label_a	target_label_b	profile_a	profile_b	paper_a	paper_b	collection_pair	markers_a	markers_b	shared_markers	union_markers	any_shared_marker	marker_jaccard	recovery_a_from_b	recovery_b_from_a	mean_directional_recovery	context_a	context_b	context_jaccard	normalized_label_a	normalized_label_b
pair:089f00b8ed0a7f53314d	CL:0000084	T lymphocyte	T lymphocyte	T cell	profile:1953e2d225b00edf98d6	profile:1484ade40d6b5c959528	biorxiv:dbf486c9-6c54-1014-9bc5-bf4d8f303013	hca:0506_10.1038_s41591-022-01680-y_160aaf8b86	biorxiv-hca	3	3	0	6	0	0.0	0.0	0.0	0.0	7	8	0.15384615384615385	t lymphocyte	t cell
pair:ca6739de038522f8b156	CL:0000084	T cell	T cell	T-lymphocyte	profile:dd5ba3a405ab2843cb77	profile:70ad0ddd15d9a6d6942e	hca:0019_10.1126_science.aba7721_1646acb14b	hca:0149_10.1038_s41368-023-00238-z_c77e60a0ab	hca-hca	3	3	0	6	0	0.0	0.0	0.0	0.0	7	5	0.0	t cell	t lymphocyte
pair:09eb47b0b0b0eec04037	CL:0000084	T cell	T cell	T-lymphocyte	profile:3f23f5d37cbf7c9b6bb1	profile:70ad0ddd15d9a6d6942e	hca:0039_10.1016_j.isci.2021.102405_1f6d3fbc60	hca:0149_10.1038_s41368-023-00238-z_c77e60a0ab	hca-hca	3	3	1	5	1	0.2	0.3333333333333333	0.3333333333333333	0.3333333333333333	11	5	0.3333333333333333	t cell	t lymphocyte
pair:f28e749eaf9c38ffe7df	CL:0000084	T cell	T cell	T-lymphocyte	profile:8882c49e6e52852614eb	profile:70ad0ddd15d9a6d6942e	hca:0042_10.1126_sciadv.aau4788_744a251f24	hca:0149_10.1038_s41368-023-00238-z_c77e60a0ab	hca-hca	6	3	1	8	1	0.125	0.16666666666666666	0.3333333333333333	0.25	8	5	0.08333333333333333	t cell	t lymphocyte
pair:0f59497ca2f93b3b98f2	CL:0000084	T cell	T cell	T-lymphocyte	profile:0f2a32ddd601f226a3af	profile:70ad0ddd15d9a6d6942e	hca:0091_10.1101_2025.06.19.660575_df9b499d76	hca:0149_10.1038_s41368-023-00238-z_c77e60a0ab	hca-hca	4	3	1	6	1	0.16666666666666666	0.25	0.3333333333333333	0.29166666666666663	10	5	0.25	t cell	t lymphocyte
pair:5729114d3e00c1ac5b62	CL:0000084	T cell	T cell	T-lymphocyte	profile:5ad23d379f122dfc7ae2	profile:70ad0ddd15d9a6d6942e	hca:0092_10.1126_sciadv.adm7506_67b90b1dc0	hca:0149_10.1038_s41368-023-00238-z_c77e60a0ab	hca-hca	3	3	1	5	1	0.2	0.3333333333333333	0.3333333333333333	0.3333333333333333	9	5	0.07692307692307693	t cell	t lymphocyte
pair:57a7ff5505360d0205c2	CL:0000084	T cell	T cell	T-lymphocyte	profile:da010ac0a952c0322ef2	profile:70ad0ddd15d9a6d6942e	hca:0109_10.7554_elife.91792.1_056dda27be	hca:0149_10.1038_s41368-023-00238-z_c77e60a0ab	hca-hca	7	3	3	7	1	0.42857142857142855	0.42857142857142855	1.0	0.7142857142857143	21	5	0.13043478260869565	t cell	t lymphocyte
pair:80f134a7be3263d8bbee	CL:0000084	T cell	T cell	T-lymphocyte	profile:58c8b1f521aff5be11a4	profile:70ad0ddd15d9a6d6942e	hca:0148_10.1113_jp287812_fd3137bc12	hca:0149_10.1038_s41368-023-00238-z_c77e60a0ab	hca-hca	5	3	1	7	1	0.14285714285714285	0.2	0.3333333333333333	0.26666666666666666	13	5	0.125	t cell	t lymphocyte
pair:832ca9f713a50858e536	CL:0000084	T-lymphocyte	T-lymphocyte	T cell	profile:70ad0ddd15d9a6d6942e	profile:5f7c966b288a72dd7b1c	hca:0149_10.1038_s41368-023-00238-z_c77e60a0ab	hca:0158_10.2337_db21-0830_d021248f76	hca-hca	3	3	1	5	1	0.2	0.3333333333333333	0.3333333333333333	0.3333333333333333	5	7	0.09090909090909091	t lymphocyte	t cell
pair:5bd9245f5334f3ec0bd3	CL:0000084	T-lymphocyte	T-lymphocyte	T cell	profile:70ad0ddd15d9a6d6942e	profile:4ce69e2212c8f7baa73e	hca:0149_10.1038_s41368-023-00238-z_c77e60a0ab	hca:0164_10.1177_00220345221147908_13bf485ac8	hca-hca	3	3	1	5	1	0.2	0.3333333333333333	0.3333333333333333	0.3333333333333333	5	6	0.2222222222222222	t lymphocyte	t cell
