"cellType"	"gene"	"logFC"	"logDOR"	"Prop.Exp.in"	"Prop.Exp.Out"	"nCells.in"	"nCells.out"
"123"	"AT1"	"ALS2CL"	0.332177188833649	3.32600082173098	0.254510921177588	0.0121331911271147	1053	306597
"124"	"AT1"	"SFN"	0.576972236994788	3.29110889888471	0.326685660018993	0.0177464228286643	1053	306597
"125"	"AT1"	"ENSG00000255330"	0.471224282541447	3.29098461743029	0.33713200379867	0.0185879183423191	1053	306597
"126"	"AT1"	"CDH1"	1.32484628842912	3.29050268730541	0.725546058879392	0.0895246854992058	1053	306597
"127"	"AT1"	"RANBP17"	1.18954853287142	3.28827333034292	0.679012345679012	0.0731122613724205	1053	306597
"128"	"AT1"	"SPTBN1"	1.43283114301278	3.28381299873821	0.823361823361823	0.148471772391772	1053	306597
"129"	"AT1"	"SFTPB"	2.37559151133928	3.27746367005725	0.718898385565052	0.0879036650717391	1053	306597
"130"	"AT1"	"PTPN21"	0.617376144384978	3.27104421392236	0.43684710351377	0.0286141090747789	1053	306597
"131"	"AT1"	"SLC34A2"	0.925156364739808	3.24963708329187	0.539411206077873	0.0434446521003141	1053	306597
"132"	"AT1"	"PRKCZ"	0.854257533847206	3.2435464830987	0.562203228869895	0.0477108386579125	1053	306597
"133"	"AT1"	"GGT1"	0.676831528084364	3.2414330461627	0.433998100664767	0.0291196587050754	1053	306597
"134"	"AT1"	"PHLDB2"	0.912013902632579	3.2388638358053	0.54320987654321	0.0445405532343761	1053	306597
"135"	"AT1"	"RBMS3"	0.93117704876711	3.21669670817901	0.594491927825261	0.0554865181329237	1053	306597
"136"	"AT1"	"EDN1"	0.454832239543409	3.21156757101856	0.311490978157645	0.0179160265756025	1053	306597
"137"	"AT1"	"SH3RF2"	0.376161748885699	3.21130890696019	0.254510921177588	0.0135878694181613	1053	306597
"138"	"AT1"	"SLC39A8"	1.55687021132571	3.20708731265099	0.823361823361823	0.158435992524389	1053	306597
"139"	"AT1"	"MAGI3"	1.58137701557744	3.20579744764945	0.838556505223172	0.173553557275511	1053	306597
"140"	"AT1"	"CAVIN1"	0.878310204874	3.19640268259281	0.561253561253561	0.0497167291265081	1053	306597
"141"	"AT1"	"WTIP"	0.437130897111804	3.19412730514014	0.316239316239316	0.0186237960580175	1053	306597
"142"	"AT1"	"PTPRF"	0.684179760590021	3.19233351411676	0.477682811016144	0.0362071383607798	1053	306597
"143"	"AT1"	"ID1"	1.10089584441945	3.19168541314751	0.608736942070275	0.0600788657423262	1053	306597
"144"	"AT1"	"RAB17"	0.309892686616844	3.18985963073139	0.243114909781576	0.0130692733457927	1053	306597
"145"	"AT1"	"LAMA5"	0.56223801086381	3.18411495939946	0.408357075023742	0.0277987064452685	1053	306597
"146"	"AT1"	"KCNT2"	0.600695210773998	3.17881279137786	0.338081671415005	0.0208351679892497	1053	306597
"147"	"AT1"	"PDGFA"	0.433798092550162	3.17754026567568	0.310541310541311	0.0184444074795252	1053	306597
"148"	"AT1"	"MAL2"	0.631314897903926	3.17742335627349	0.448243114909782	0.0327661392642459	1053	306597
"149"	"AT1"	"ADGRF5"	0.690378950064425	3.17215110161339	0.482431149097816	0.0375998460519835	1053	306597
"150"	"AT1"	"TMPRSS2"	0.583431136726692	3.1687077623465	0.405508072174739	0.0278965547608098	1053	306597
"151"	"AT1"	"EPCAM"	0.804886620017174	3.16635896204168	0.538461538461538	0.0468693431442578	1053	306597
"152"	"AT1"	"TSPAN12"	0.386536028500327	3.15588538367707	0.296296296296296	0.0176355280710509	1053	306597
"153"	"AT1"	"PATJ"	1.45243106798762	3.15167585489315	0.807217473884141	0.151674673920488	1053	306597
"154"	"AT1"	"CACNA2D2"	0.34234202704205	3.09891485232013	0.265906932573599	0.0160895246854992	1053	306597
"155"	"AT1"	"SYNPO"	0.487597425503255	3.0967811358998	0.351377018043685	0.023910866707763	1053	306597
"156"	"AT1"	"SHANK2"	1.09050396641597	3.07831939150478	0.677113010446344	0.0879786821136541	1053	306597
"157"	"AT1"	"EFEMP1"	0.65197477049944	3.07045474337097	0.46343779677113	0.0385359282706615	1053	306597
"158"	"AT1"	"ENSG00000283098"	0.625401454692056	3.07043795783441	0.425451092117759	0.0332260263472898	1053	306597
"159"	"AT1"	"ITGB6"	0.901593243249398	3.06839943213487	0.545109211775878	0.052766334960877	1053	306597
"160"	"AT1"	"F3"	0.777957680493337	3.046466022024	0.493827160493827	0.0443122404981132	1053	306597
"161"	"AT1"	"SCUBE1"	0.421645887131723	3.04272917092215	0.286799620132953	0.0188390623522083	1053	306597
"162"	"AT1"	"KRT8"	1.21753669395683	3.0324345490877	0.641975308641975	0.079505017987782	1053	306597
"163"	"AT1"	"NAV2"	1.28139005333053	3.03156005458649	0.719848053181387	0.110180464909963	1053	306597
"164"	"AT1"	"SYT1"	0.699757975155459	3.02995064403489	0.44349477682811	0.037084511590133	1053	306597
"165"	"AT1"	"LAMC2"	0.536278993752017	3.0247201464267	0.373219373219373	0.0281216058865547	1053	306597
"166"	"AT1"	"LLGL2"	0.92819203659496	3.022963901007	0.613485280151947	0.071660844691892	1053	306597
"167"	"AT1"	"GPR39"	0.54291970156567	3.01976624995661	0.358974358974359	0.0266212650482555	1053	306597
"168"	"AT1"	"RNASE1"	1.77915024050461	3.0101758994668	0.843304843304843	0.209222529900814	1053	306597
"169"	"AT1"	"TEAD1"	1.02026410660976	3.00766762255549	0.63627730294397	0.0795115412088181	1053	306597
"170"	"AT1"	"EGFR"	0.730530418099819	2.99813892931644	0.50997150997151	0.0493449055274513	1053	306597
"171"	"AT1"	"CKB"	0.739671980806217	2.98970908204955	0.504273504273504	0.0486762753712528	1053	306597
"172"	"AT1"	"S100A14"	0.359015764243284	2.98968918910986	0.282051282051282	0.0193967977507934	1053	306597
"173"	"AT1"	"COBL"	0.965720689300809	2.98642192128416	0.598290598290598	0.0698832669595593	1053	306597
"174"	"AT1"	"CST6"	0.761696981325393	2.98243120034998	0.477682811016144	0.0442894092244869	1053	306597
"175"	"AT1"	"RPL39P5"	0.307331586967514	2.98155001619404	0.231718898385565	0.0150849486459424	1053	306597
"176"	"AT1"	"CYP4Z1"	0.562697128159368	2.96694589105571	0.394112060778727	0.0324008388862252	1053	306597
"177"	"AT1"	"PEBP4"	0.778793975703659	2.96586275511469	0.494776828110161	0.0480272148781625	1053	306597
