"cellType"	"gene"	"log1p_FC"	"pct.copd"	"pct.ctrl"	"wilcox.p"	"wilcox.fdr"	"wilcox.bonferroni"
"35"	"ncMonocyte"	"C1QB"	-0.667639030914469	0.888888888888889	0.961538461538462	6.36451661411437e-05	0.000601901428363387	0.0210665499927186
"36"	"ncMonocyte"	"HIP1"	-0.320976705184581	0.944444444444444	1	6.94970807679588e-05	0.000623705820931961	0.0230035337341944
"37"	"ncMonocyte"	"C1QC"	-0.54025523882364	0.833333333333333	0.923076923076923	6.97193817960198e-05	0.000623705820931961	0.0230771153744826
"38"	"ncMonocyte"	"ZFP36L2"	0.451539606772934	1	0.884615384615385	7.77850119310332e-05	0.000677548393399263	0.025746838949172
"39"	"ncMonocyte"	"SSBP2"	0.347908277441629	1	0.923076923076923	8.60710087636193e-05	0.000730500100019436	0.028489503900758
"40"	"ncMonocyte"	"DMXL2"	-0.507256910842742	0.944444444444444	1	0.000125743574603222	0.00101514934618699	0.0416211231936665
"41"	"ncMonocyte"	"IFITM2"	0.764449042001028	1	0.961538461538462	0.000125743574603222	0.00101514934618699	0.0416211231936665
"42"	"ncMonocyte"	"EEPD1"	-0.301171064024094	0.888888888888889	0.884615384615385	0.000153003830453139	0.00116280214204451	0.0506442678799889
"43"	"ncMonocyte"	"RYBP"	0.283929751245528	1	0.923076923076923	0.000154571885951536	0.00116280214204451	0.0511632942499583
"44"	"ncMonocyte"	"ENSG00000224363"	0.340955372216635	1	0.923076923076923	0.000154571885951536	0.00116280214204451	0.0511632942499583
"45"	"ncMonocyte"	"CHSY1"	0.435985088738095	1	1	0.00015810935456322	0.0011629821413428	0.0523341963604258
"46"	"ncMonocyte"	"PPDPF"	0.354979855363268	1	0.884615384615385	0.000186778115522927	0.00131746159391786	0.061823556238089
"47"	"ncMonocyte"	"SYK"	-0.330850926027513	0.888888888888889	1	0.000187071585843321	0.00131746159391786	0.0619206949141394
"48"	"ncMonocyte"	"HIPK3"	0.28984592732835	1	0.961538461538462	0.000197919930509003	0.00133696932649959	0.0655114969984799
"49"	"ncMonocyte"	"RIPOR2"	0.394868163894749	1	1	0.000197919930509003	0.00133696932649959	0.0655114969984799
