"cellType"	"gene"	"log1p_FC"	"pct.ipf"	"pct.copd"	"wilcox.p"	"wilcox.fdr"	"wilcox.bonferroni"
"45"	"ncMonocyte"	"GPX4"	0.315222832652667	1	1	0.000773703410115755	0.00340429500450932	0.153193275202919
"46"	"ncMonocyte"	"SENP3-EIF4A1"	0.317249138107033	0.96875	0.944444444444444	0.000793200387023679	0.00341421036153671	0.157053676630689
"47"	"ncMonocyte"	"NR4A2"	-0.342011910479295	0.875	1	0.000820532744936619	0.0034269187765866	0.162465483497451
"48"	"ncMonocyte"	"HSP90AA1"	0.642062245021738	1	1	0.000910904055150094	0.0034269187765866	0.180359002919719
"49"	"ncMonocyte"	"CHKA"	-0.28663540895546	0.96875	1	0.000910904055150094	0.0034269187765866	0.180359002919719
"50"	"ncMonocyte"	"LCP1"	0.271615348581963	1	1	0.000910904055150094	0.0034269187765866	0.180359002919719
"51"	"ncMonocyte"	"NOP10"	0.270446422294096	0.96875	1	0.000910904055150094	0.0034269187765866	0.180359002919719
"52"	"ncMonocyte"	"GPX1"	0.300403266233665	1	1	0.000910904055150094	0.0034269187765866	0.180359002919719
"53"	"ncMonocyte"	"SNX3"	0.255249088365658	0.96875	0.944444444444444	0.000917306541207525	0.0034269187765866	0.18162669515909
"54"	"ncMonocyte"	"FBXW7"	-0.260924043454708	0.96875	1	0.000987434160310958	0.00353008351274058	0.19551196374157
"55"	"ncMonocyte"	"PLAUR"	-0.314581748265024	1	1	0.00106972227658805	0.00353008351274058	0.211805010764435
"56"	"ncMonocyte"	"AP2S1"	0.284334368433109	1	1	0.00106972227658805	0.00353008351274058	0.211805010764435
"57"	"ncMonocyte"	"EEF1B2"	0.268565751325074	0.96875	1	0.00106972227658805	0.00353008351274058	0.211805010764435
"58"	"ncMonocyte"	"DUSP1"	0.364037349576584	1	1	0.00106972227658805	0.00353008351274058	0.211805010764435
"59"	"ncMonocyte"	"RPS24"	0.399611787014502	1	1	0.00106972227658805	0.00353008351274058	0.211805010764435
"60"	"ncMonocyte"	"CMIP"	-0.250321987807856	0.96875	1	0.00106972227658805	0.00353008351274058	0.211805010764435
"61"	"ncMonocyte"	"AREG"	-0.492427699262727	0.90625	1	0.00126407958249841	0.00410307798909321	0.250287757334686
"62"	"ncMonocyte"	"EMILIN2"	-0.272607963846759	0.96875	1	0.00135501746342706	0.00425862631362791	0.268293457758558
"63"	"ncMonocyte"	"TMSB4X"	0.491696280514447	1	1	0.00135501746342706	0.00425862631362791	0.268293457758558
"64"	"ncMonocyte"	"PCNX1"	-0.309053222708482	0.9375	1	0.00145578247783311	0.00450382704079618	0.288244930610956
"65"	"ncMonocyte"	"ENSG00000268173"	0.345979522782089	1	1	0.00170702767544225	0.00514881355962499	0.337991479737566
"66"	"ncMonocyte"	"EREG"	-0.317410860117937	0.84375	0.944444444444444	0.00171627118654166	0.00514881355962499	0.33982169493525
"67"	"ncMonocyte"	"PPM1L"	-0.282620549171225	0.96875	1	0.00184142187037334	0.00536178721079295	0.36460153033392
"68"	"ncMonocyte"	"RPL9"	0.367253242471621	1	1	0.00184142187037334	0.00536178721079295	0.36460153033392
"69"	"ncMonocyte"	"KCNMA1"	-0.322363354371117	0.71875	0.944444444444444	0.00190502356614791	0.00545936926481328	0.377194666097287
"70"	"ncMonocyte"	"DNMBP"	-0.371188082173592	1	0.944444444444444	0.00198522518720483	0.00545936926481328	0.393074587066556
"71"	"ncMonocyte"	"S100A11"	0.434788196377802	1	1	0.00198522518720483	0.00545936926481328	0.393074587066556
"72"	"ncMonocyte"	"ENSG00000258311"	0.255724059295207	0.96875	1	0.00198522518720483	0.00545936926481328	0.393074587066556
"73"	"ncMonocyte"	"MANBA"	-0.270536182290381	0.96875	1	0.00213900488766522	0.0058016844898317	0.423522967757714
"74"	"ncMonocyte"	"C1orf162"	0.344729629508373	0.9375	1	0.0021980044934868	0.00588114715824847	0.435204889710387
"75"	"ncMonocyte"	"B2M"	0.312838323248849	1	1	0.0023033571157034	0.00608086278545698	0.456064708909273
"76"	"ncMonocyte"	"SFMBT2"	-0.278932444277955	0.9375	1	0.00235110288255345	0.00612524172033661	0.465518370745583
"77"	"ncMonocyte"	"PYCARD"	0.263659176881277	0.96875	0.944444444444444	0.00243125903598126	0.0062518089496661	0.48138928912429
"78"	"ncMonocyte"	"PELI1"	-0.545016374177003	0.96875	1	0.00247890567445904	0.00629260671208833	0.49082332354289
"79"	"ncMonocyte"	"ATP1B3"	-0.519202816253755	1	1	0.00266630519639076	0.00648804438348631	0.527928428885371
