source_corpus	paper_id	paper_key	cell_type	normalized_cell_type	neighborhood	relation	relation_label	marker_scope	marker_scope_label	n_markers	n_comparison_profiles	n_background_profiles	paper_n_profiles	local_marker_lb_log2	atlas_marker_lb_log2	marker_lb_gap_log2	observed_mean_profile_recall	expected_mean_profile_recall	mean_profile_recall_lift	observed_union_recall	expected_union_recall	union_recall_lift	n_recovered_markers	n_unrecovered_markers	recovered_marker_names	unrecovered_marker_names
biorxiv	0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	biorxiv:0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	EEC	EEC		same_exact_label	Same reported label	local_private_markers	Local-only markers	4	2	3336	15	4	12	8	0	0.00217326139089	0	0	0.00433895239923	0	0	4	NA	CHGB; CHGA; PAX4; INSM1
biorxiv	0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	biorxiv:0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	PANETH CELLS	PANETH CELLS		same_exact_label	Same reported label	all_reported_markers	All reported markers	5	1	3336	15	4	12	8	0.4	0.00305755395683	130.823529412	0.4	0.00305755395683	130.823529412	2	3	LYZ; PRSS2	DEFA5; DEFA4; PLA2G2A
biorxiv	0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	biorxiv:0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	PANETH CELLS	PANETH CELLS		same_exact_label	Same reported label	local_private_markers	Local-only markers	3	1	3336	15	4	12	8	0.333333333333	0.000599520383693	556	0.333333333333	0.000599520383693	556	1	2	PRSS2	DEFA5; DEFA4
biorxiv	10f6f17d-749e-1014-bdcf-fe1d1407f022	biorxiv:10f6f17d-749e-1014-bdcf-fe1d1407f022	ACINAR CELL	ACINAR CELL		same_exact_label	Same reported label	all_reported_markers	All reported markers	3	6	3346	5	3	12	9	0.111111111111	0.000697350069735	159.333333333	0.333333333333	0.00417473481155	79.8453909961	1	2	CTRB2	CPA1; CELA3A
biorxiv	10f6f17d-749e-1014-bdcf-fe1d1407f022	biorxiv:10f6f17d-749e-1014-bdcf-fe1d1407f022	ACINAR CELL	ACINAR CELL		same_exact_label	Same reported label	local_private_markers	Local-only markers	3	6	3346	5	3	12	9	0.111111111111	0.000697350069735	159.333333333	0.333333333333	0.00417473481155	79.8453909961	1	2	CTRB2	CPA1; CELA3A
biorxiv	10f6f17d-749e-1014-bdcf-fe1d1407f022	biorxiv:10f6f17d-749e-1014-bdcf-fe1d1407f022	ALPHA CELL	ALPHA CELL		same_exact_label	Same reported label	all_reported_markers	All reported markers	9	5	3346	5	3	12	9	0.222222222222	0.00268977884041	82.6172839506	0.555555555556	0.0133426904308	41.6374462434	5	4	GCG; TTR; PCSK2; ALDH1A1; DPP4	CLU; DDC; SQOR; GSN
biorxiv	10f6f17d-749e-1014-bdcf-fe1d1407f022	biorxiv:10f6f17d-749e-1014-bdcf-fe1d1407f022	ALPHA CELL	ALPHA CELL		same_exact_label	Same reported label	local_private_markers	Local-only markers	8	5	3346	5	3	12	9	0.25	0.00291392707711	85.7948717949	0.625	0.014451160091	43.2491229814	5	3	GCG; TTR; PCSK2; ALDH1A1; DPP4	CLU; DDC; SQOR
biorxiv	10f6f17d-749e-1014-bdcf-fe1d1407f022	biorxiv:10f6f17d-749e-1014-bdcf-fe1d1407f022	BETA CELL	BETA CELL		same_exact_label	Same reported label	all_reported_markers	All reported markers	21	9	3346	5	3	12	9	0.0529100529101	0.000853898044573	61.962962963	0.333333333333	0.00762417142623	43.7205979113	7	14	ERO1B; GNAS; ASB9; NPTX2; IAPP; HADH; PCSK1	BPNT2; GDAP1; STX1A; CPE; ALG2; APOBEC2; ABHD10; CPLX2; GSN; G6PC2; SLC18A2; GPD1; CADM1; RDH14
biorxiv	10f6f17d-749e-1014-bdcf-fe1d1407f022	biorxiv:10f6f17d-749e-1014-bdcf-fe1d1407f022	BETA CELL	BETA CELL		same_exact_label	Same reported label	local_private_markers	Local-only markers	19	9	3346	5	3	12	9	0.0526315789474	0.000817944442697	64.3461538462	0.315789473684	0.00729991350698	43.2593445638	6	13	ERO1B; GNAS; ASB9; NPTX2; IAPP; HADH	BPNT2; GDAP1; STX1A; CPE; ALG2; APOBEC2; ABHD10; CPLX2; G6PC2; SLC18A2; GPD1; CADM1; RDH14
biorxiv	10f6f17d-749e-1014-bdcf-fe1d1407f022	biorxiv:10f6f17d-749e-1014-bdcf-fe1d1407f022	DELTA CELL	DELTA CELL		same_exact_label	Same reported label	all_reported_markers	All reported markers	6	4	3346	5	3	12	9	0.0833333333333	0.0016437537358	50.696969697	0.333333333333	0.00655298862747	50.8673755264	2	4	RBP4; PCSK1	EFS; SEC11C; PCP4; SERPINA1
