source_corpus	paper_id	paper_key	relation	relation_label	marker_scope	marker_scope_label	n_profiles_with_comparison	paper_n_profiles	local_marker_lb_log2	atlas_marker_lb_log2	marker_lb_gap_log2	median_observed_union_recall	median_expected_union_recall	median_union_recall_lift	median_observed_mean_profile_recall	median_expected_mean_profile_recall	median_mean_profile_recall_lift
hca	0338_10.3389_fnmol.2020.00134_d9eafa03d0	hca:0338_10.3389_fnmol.2020.00134_d9eafa03d0	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	1	4	2	12	10	1.0	0.413719387885389	2.417097262739415	0.024752475247524754	0.003996115924708695	6.194133432034792
hca	0037_10.1038_s41593-019-0539-4_24ef44df9e	hca:0037_10.1038_s41593-019-0539-4_24ef44df9e	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	1	3	2	12	10	0.8666666666666667	0.3612542313650648	2.3990491776160217	0.01815181518151815	0.0030067702110712865	6.036981181561863
hca	0020_10.1038_s44161-022-00019-7_10ae5c8129	hca:0020_10.1038_s44161-022-00019-7_10ae5c8129	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	1	2	1	12	11	0.75	0.3134192986875991	2.3929604945851244	0.13175675675675674	0.006270528515974918	21.012065637065636
hca	0212_10.1038_s41586-022-04571-x_30a05d7904	hca:0212_10.1038_s41586-022-04571-x_30a05d7904	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	1	5	3	12	9	0.6666666666666666	0.28032942349382384	2.378154452564465	0.018018018018018018	0.004582586172544332	3.9318448883666273
hca	0105_10.1038_s41563-020-00853-9_ec3e5ef313	hca:0105_10.1038_s41563-020-00853-9_ec3e5ef313	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	1	6	3	12	9	1.0	0.4348051649383751	2.2998806836660504	0.14414414414414414	0.008470353761833582	17.017488076311604
hca	0091_10.1101_2025.06.19.660575_df9b499d76	hca:0091_10.1101_2025.06.19.660575_df9b499d76	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	1	2	1	12	11	0.2	0.08727347636594	2.291646996636122	0.001342281879194631	0.0006569125111973724	2.0433190970103725
hca	0113_10.1101_2021.04.28.441762_c83625bbe4	hca:0113_10.1101_2021.04.28.441762_c83625bbe4	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	8	14	4	12	8	1.0	0.41611855250270313	2.2781911923527955	0.04930963161719493	0.006093297372889821	5.879871475953565
biorxiv	876ca999-6c0e-1014-8ed9-e7563228589e	biorxiv:876ca999-6c0e-1014-8ed9-e7563228589e	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	3	14	4	12	8	0.6666666666666666	0.32943319957738904	2.276637573147248	0.03125	0.006792528218959144	8.690104166666666
hca	0479_10.1016_j.xcrm.2022.100657_bf09154d98	hca:0479_10.1016_j.xcrm.2022.100657_bf09154d98	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	6	16	4	12	8	0.8571428571428572	0.3167718454320829	2.276272325675712	0.03838951310861423	0.005644677661169415	8.377390495369761
hca	0109_10.7554_elife.91792.1_056dda27be	hca:0109_10.7554_elife.91792.1_056dda27be	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	11	24	5	12	7	1.0	0.36797894969025885	2.2689640810341847	0.10399999999999998	0.0061316501352569885	7.330677966101694
