profile_i	profile_j	profile_id_i	profile_id_j	label_i	label_j	cl_id_i	cl_id_j	cl_label_i	cl_label_j	marker_jaccard	ontology_similarity	ontology_common_id	ontology_graph_distance	label_similarity	same_paper
6	14	1829	3472	EXHAUSTED CD8 T CELL	CD4.9	CL:0011025	CL:0011025	exhausted T cell	exhausted T cell	0.25	1.0	CL:0011025	0	0.5	False
6	15	1829	3509	EXHAUSTED CD8 T CELL	CXCL9-POSITIVE	CL:0011025	CL:0000235	exhausted T cell	macrophage	0.0	0.125	CL:0000842	7	0.0	False
6	16	1829	3819	EXHAUSTED CD8 T CELL	CD8T_GZMB	CL:0011025	CL:0000910	exhausted T cell	cytotoxic T cell	0.0	0.3333333333333333	CL:0000911	2	0.3333333333333333	False
6	17	1829	3856	EXHAUSTED CD8 T CELL	DCS	CL:0011025	CL:0000841	exhausted T cell	mature conventional dendritic cell	0.0	0.1111111111111111	CL:0000738	8	0.0	False
7	8	2113	2259	PLASMACYTOID DENDRITIC CELL	ALVEOLAR MAC	CL:0000786	CL:0000235	plasma cell	macrophage	0.0	0.14285714285714285	CL:0000842	6	0.0	False
7	9	2113	2263	PLASMACYTOID DENDRITIC CELL	NK CELL	CL:0000786	CL:0000623	plasma cell	natural killer cell	0.0	0.14285714285714285	CL:0000542	6	0.0	False
7	10	2113	2449	PLASMACYTOID DENDRITIC CELL	ACTIVATED MEMORY CELL	CL:0000786	CL:0000910	plasma cell	cytotoxic T cell	0.0	0.125	CL:0000542	7	0.0	False
7	11	2113	2737	PLASMACYTOID DENDRITIC CELL	NEUTROPHIL	CL:0000786	CL:0001064	plasma cell	malignant cell	0.0	0.0	CL:0000000	10	0.0	False
7	12	2113	3111	PLASMACYTOID DENDRITIC CELL	MONOCYTE	CL:0000786	CL:0002057	plasma cell	CD14-positive, CD16-negative classical monocyte	0.0	0.1111111111111111	CL:0000842	8	0.0	False
7	13	2113	3291	PLASMACYTOID DENDRITIC CELL	MONOCYTE	CL:0000786	CL:0002057	plasma cell	CD14-positive, CD16-negative classical monocyte	0.0	0.1111111111111111	CL:0000842	8	0.0	False
7	14	2113	3472	PLASMACYTOID DENDRITIC CELL	CD4.9	CL:0000786	CL:0011025	plasma cell	exhausted T cell	0.0	0.125	CL:0000542	7	0.0	False
7	15	2113	3509	PLASMACYTOID DENDRITIC CELL	CXCL9-POSITIVE	CL:0000786	CL:0000235	plasma cell	macrophage	0.0	0.14285714285714285	CL:0000842	6	0.0	False
7	16	2113	3819	PLASMACYTOID DENDRITIC CELL	CD8T_GZMB	CL:0000786	CL:0000910	plasma cell	cytotoxic T cell	0.0	0.125	CL:0000542	7	0.0	False
7	17	2113	3856	PLASMACYTOID DENDRITIC CELL	DCS	CL:0000786	CL:0000841	plasma cell	mature conventional dendritic cell	0.07692307692307693	0.125	CL:0000738	7	0.0	False
