label_token	display_label_token	n_profiles_with_token	n_papers_with_token	n_cross_paper_pairs_with_token	marker_linked_fraction	background_marker_linked_fraction	marker_linked_lift	mean_marker_jaccard	background_mean_marker_jaccard	mean_marker_jaccard_lift
cancer	cancer	17	13	131	0.04580152671755725	0.020020112654446982	2.287775673798896	0.0053130001266507776	0.0026539779524491726	2.0019006268487565
derived	derived	8	5	22	0.045454545454545456	0.020020112654446982	2.2704440399064802	0.005681818181818182	0.0026539779524491726	2.140868644584943
fib	fib	10	3	23	0.043478260869565216	0.020020112654446982	2.171729081649677	0.008695652173913044	0.0026539779524491726	3.2764598386691297
progenitor	progenitor	50	34	1203	0.03906899418121363	0.020020112654446982	1.9514872296453039	0.007069177705087929	0.0026539779524491726	2.6636158369606178
precursor	precursor	17	12	131	0.03816793893129771	0.020020112654446982	1.9064797281657468	0.010250817884405669	0.0026539779524491726	3.862435207853139
mature	mature	12	12	66	0.030303030303030304	0.020020112654446982	1.5136293599376536	0.00974025974025974	0.0026539779524491726	3.6700605335741874
lineage	lineage	14	9	80	0.025	0.020020112654446982	1.2487442219485643	0.0034722222222222225	0.0026539779524491726	1.3083086161352429
classical	classical	10	6	40	0.025	0.020020112654446982	1.2487442219485643	0.004166666666666667	0.0026539779524491726	1.5699703393622915
lymphocyte	lymphocyte	10	9	44	0.022727272727272728	0.020020112654446982	1.1352220199532401	0.0037878787878787876	0.0026539779524491726	1.4272457630566284
differentiated	differentiated	11	9	53	0.018867924528301886	0.020020112654446982	0.9424484693951427	0.0023584905660377358	0.0026539779524491726	0.8886624562428064
mes	mes	14	5	64	0.015625	0.020020112654446982	0.7804651387178526	0.0015625	0.0026539779524491726	0.5887388772608593
progenitors	progenitors	8	7	27	0.0	0.020020112654446982	0.0	0.0	0.0026539779524491726	0.0
