group	target	rank	nnz	nnz_frac	mean	log_fc	p_raw	p_corr
Naive T	ENSG00000206560	460.0	92.0	0.1851106639839034	0.20777845048599902	0.13379124012588495	2.255856564707541e-09	7.60088310912559e-05
Naive T	ENSG00000174748	47.0	489.0	0.9839034205231388	2.1636107271018523	0.4974787115375727	5.852284089631266e-46	1.9718686011603588e-41
Naive T	ENSG00000168028	89.0	450.0	0.9054325955734407	1.4714766829959955	0.7091613787083815	3.5283874041610684e-73	1.1888548519580304e-68
Naive T	ENSG00000188846	72.0	471.0	0.9476861167002012	1.8046605232695747	0.6721535101933009	2.811738843506345e-68	9.473872859310279e-64
Naive T	ENSG00000114779	831.0	72.0	0.1448692152917505	0.12743952916710713	0.08404315936507553	3.532678549430754e-08	0.0011903007104451984
Naive T	ENSG00000162244	75.0	476.0	0.9577464788732394	1.7670612365607126	0.552559461454398	1.2744441941117178e-52	4.294112267640022e-48
Naive T	ENSG00000114391	87.0	459.0	0.9235412474849095	1.5117795361376543	0.4628804377350755	2.512247260688029e-37	8.464765920162245e-33
Naive T	ENSG00000163519	490.0	108.0	0.21730382293762576	0.19720917662968634	0.1561534573819445	8.544584674333713e-16	2.8790123601700013e-11
Naive T	ENSG00000153283	552.0	94.0	0.1891348088531187	0.17811644496258142	0.12445336769854995	5.168055256022552e-11	1.7413245379642387e-06
Naive T	ENSG00000174946	310.0	136.0	0.27364185110663986	0.29482999017739325	0.2385377482777179	1.4453246437483334e-20	4.869876854645635e-16
Naive T	ENSG00000156976	186.0	255.0	0.5130784708249497	0.541351073779912	0.15922733182953663	1.9420526419174276e-07	0.00654355217167658
Naive T	ENSG00000184203	285.0	171.0	0.3440643863179074	0.3189050987681391	0.19272482129717983	1.1557763593117728e-15	3.8942728650650875e-11
Naive T	ENSG00000182899	44.0	483.0	0.971830985915493	2.2106507628932532	0.6826467050526588	4.91961451560662e-70	1.6576149148884944e-65
Naive T	ENSG00000163682	52.0	484.0	0.9738430583501007	2.058223637848903	0.6488566743672532	3.8173391835229854e-67	1.2862142644962347e-62
Naive T	ENSG00000168421	770.0	78.0	0.15694164989939638	0.13662369999425655	0.09424373063884328	5.103433262629982e-09	0.00017195508035105462
Naive T	ENSG00000145247	688.0	78.0	0.15694164989939638	0.14869999164494097	0.08653735500712366	1.0001872403719665e-06	0.03370030887709304
Naive T	ENSG00000128040	1435.0	39.0	0.07847082494969819	0.07541665719128013	0.07084233775534475	4.512077012956095e-09	0.00015202992287454266
Naive T	ENSG00000118816	191.0	249.0	0.5010060362173038	0.520376881825024	0.16425372180346148	2.981852816512366e-08	0.0010047054879956765
Naive T	ENSG00000138795	1634.0	41.0	0.08249496981891348	0.06634720064981758	0.0601737749396629	9.614510909013607e-09	0.00032395133056830445
Naive T	ENSG00000109475	3.0	497.0	1.0	3.1944169453393476	0.8912613708414536	1.2004808041292224e-131	4.044900021433002e-127
Naive T	ENSG00000109471	1510.0	37.0	0.0744466800804829	0.0714576300688417	0.0714576300688417	9.83619077991598e-10	3.3142061213848906e-05
Naive T	ENSG00000109452	1134.0	53.0	0.10663983903420524	0.09409308801998156	0.07217001571524911	7.491833310959292e-08	0.002524298315794624
