local_label	global_label	context	replicate	recovery_top100
Pat Mono	Mono+mono derived cells	local	47	0.7777777777777778
cDC1s	cDC1s	local	47	0.8
cDC2s	cDC2s	local	47	0.5
Mig cDCs	Mig.cDCs	local	47	0.8
Mac1	Macrophages	local	48	0.875
immature LAMs	Macrophages	local	48	0.8
mature LAMs	Macrophages	local	48	0.7777777777777778
Pre-moKCs and moKCs	Macrophages	local	48	1.0
ResKCs	Macrophages	local	48	0.4
Mono	Mono+mono derived cells	local	48	0.8888888888888888
Pat Mono	Mono+mono derived cells	local	48	0.6666666666666666
cDC1s	cDC1s	local	48	0.8
cDC2s	cDC2s	local	48	0.5
Mig cDCs	Mig.cDCs	local	48	0.8
Mac1	Macrophages	local	49	0.875
immature LAMs	Macrophages	local	49	0.8
mature LAMs	Macrophages	local	49	0.7777777777777778
Pre-moKCs and moKCs	Macrophages	local	49	1.0
ResKCs	Macrophages	local	49	0.4
Mono	Mono+mono derived cells	local	49	0.8888888888888888
Pat Mono	Mono+mono derived cells	local	49	0.6666666666666666
cDC1s	cDC1s	local	49	0.8
cDC2s	cDC2s	local	49	0.5
Mig cDCs	Mig.cDCs	local	49	0.7
Mac1	Macrophages	global	0	0.25
immature LAMs	Macrophages	global	0	0.1
mature LAMs	Macrophages	global	0	0.2222222222222222
Pre-moKCs and moKCs	Macrophages	global	0	0.375
ResKCs	Macrophages	global	0	0.2
Mono	Mono+mono derived cells	global	0	0.1111111111111111
Pat Mono	Mono+mono derived cells	global	0	0.0
cDC1s	cDC1s	global	0	0.3
cDC2s	cDC2s	global	0	0.0
Mig cDCs	Mig.cDCs	global	0	0.5
Mac1	Macrophages	global	1	0.125
immature LAMs	Macrophages	global	1	0.1
mature LAMs	Macrophages	global	1	0.2222222222222222
Pre-moKCs and moKCs	Macrophages	global	1	0.25
ResKCs	Macrophages	global	1	0.2
Mono	Mono+mono derived cells	global	1	0.1111111111111111
Pat Mono	Mono+mono derived cells	global	1	0.0
cDC1s	cDC1s	global	1	0.3
cDC2s	cDC2s	global	1	0.0
Mig cDCs	Mig.cDCs	global	1	0.4
Mac1	Macrophages	global	2	0.25
immature LAMs	Macrophages	global	2	0.1
mature LAMs	Macrophages	global	2	0.2222222222222222
Pre-moKCs and moKCs	Macrophages	global	2	0.375
ResKCs	Macrophages	global	2	0.2
Mono	Mono+mono derived cells	global	2	0.1111111111111111
Pat Mono	Mono+mono derived cells	global	2	0.0
cDC1s	cDC1s	global	2	0.3
cDC2s	cDC2s	global	2	0.0
Mig cDCs	Mig.cDCs	global	2	0.4
Mac1	Macrophages	global	3	0.125
immature LAMs	Macrophages	global	3	0.1
mature LAMs	Macrophages	global	3	0.2222222222222222
Pre-moKCs and moKCs	Macrophages	global	3	0.25
ResKCs	Macrophages	global	3	0.2
Mono	Mono+mono derived cells	global	3	0.1111111111111111
Pat Mono	Mono+mono derived cells	global	3	0.0
cDC1s	cDC1s	global	3	0.3
cDC2s	cDC2s	global	3	0.0
Mig cDCs	Mig.cDCs	global	3	0.5
Mac1	Macrophages	global	4	0.125
immature LAMs	Macrophages	global	4	0.1
mature LAMs	Macrophages	global	4	0.2222222222222222
Pre-moKCs and moKCs	Macrophages	global	4	0.25
ResKCs	Macrophages	global	4	0.2
Mono	Mono+mono derived cells	global	4	0.1111111111111111
Pat Mono	Mono+mono derived cells	global	4	0.0
cDC1s	cDC1s	global	4	0.3
cDC2s	cDC2s	global	4	0.0
Mig cDCs	Mig.cDCs	global	4	0.5
Mac1	Macrophages	global	5	0.25
immature LAMs	Macrophages	global	5	0.1
mature LAMs	Macrophages	global	5	0.2222222222222222
Pre-moKCs and moKCs	Macrophages	global	5	0.375
ResKCs	Macrophages	global	5	0.2
Mono	Mono+mono derived cells	global	5	0.1111111111111111
Pat Mono	Mono+mono derived cells	global	5	0.0
cDC1s	cDC1s	global	5	0.3
cDC2s	cDC2s	global	5	0.0
Mig cDCs	Mig.cDCs	global	5	0.5
Mac1	Macrophages	global	6	0.25
immature LAMs	Macrophages	global	6	0.1
mature LAMs	Macrophages	global	6	0.2222222222222222
Pre-moKCs and moKCs	Macrophages	global	6	0.375
ResKCs	Macrophages	global	6	0.2
Mono	Mono+mono derived cells	global	6	0.1111111111111111
Pat Mono	Mono+mono derived cells	global	6	0.0
cDC1s	cDC1s	global	6	0.3
cDC2s	cDC2s	global	6	0.0
Mig cDCs	Mig.cDCs	global	6	0.5
Mac1	Macrophages	global	7	0.125
immature LAMs	Macrophages	global	7	0.1
mature LAMs	Macrophages	global	7	0.2222222222222222
Pre-moKCs and moKCs	Macrophages	global	7	0.25
ResKCs	Macrophages	global	7	0.2
Mono	Mono+mono derived cells	global	7	0.1111111111111111
Pat Mono	Mono+mono derived cells	global	7	0.0
cDC1s	cDC1s	global	7	0.3
cDC2s	cDC2s	global	7	0.0
Mig cDCs	Mig.cDCs	global	7	0.4
Mac1	Macrophages	global	8	0.25
immature LAMs	Macrophages	global	8	0.1
mature LAMs	Macrophages	global	8	0.2222222222222222
Pre-moKCs and moKCs	Macrophages	global	8	0.375
ResKCs	Macrophages	global	8	0.2
